"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C9";"CP_Radial_D8.0mm_P3.50mm";1;"100uF";;;
2;"REF**,REF**";"MountingHole_4.3mm_M4_Pad";2;"MountingHole_4.3mm_M4_Pad";;;
3;"C4";"C_Rect_L7.0mm_W3.5mm_P5.00mm";1;"1uF";;;
4;"U3";"DIP-8_W7.62mm_LongPads";1;"LT4320_CAP";;;
5;"Q9,Q8,Q7,Q6,Q1,Q2,Q3,Q4,Q5";"TO-220_Vertical";9;"FQP30N06L";;;
6;"J6";"Molex_KK-41791-12_10x3.96mm_Straight";1;"Conn_01x12_Male";;;
7;"F6,F1,F2,F3,F4,F5";"Fuseholder5x20_horiz_open_lateral_Type-II";6;"Fuse";;;
8;"C8,C7,C6,C5";"CP_Radial_D18.0mm_P7.50mm";4;"5600uF";;;
9;",";"MountingHole_4.3mm_M4_DIN965";2;"MountingHole_4.3mm_M4_DIN965";;;
10;"RV1";"Potentiometer_Trimmer_Piher_PT-10v10_Horizontal_Px10.0mm_Py5.0mm";1;"R_POT_TRIM";;;
11;"J2";"TerminalBlock_Philmore_TB132_02x5mm_Straight";1;"POWER_CONN";;;
12;"U1";"SOIC-20W_7.5x12.8mm_Pitch1.27mm";1;"74LS374";;;
13;"A1";"Arduino_Nano";1;"Arduino_Nano_v3.x";;;
14;"C1";"C_0805_HandSoldering";1;"C_Small";;;
15;"C2";"C_0805_HandSoldering";1;"0.33u";;;
16;"C3";"C_0805_HandSoldering";1;"0.1u";;;
17;"D1,D2,D3,D4,D5";"LED_0805_HandSoldering";5;"LED";;;
18;"D6";"D_5W_P10.16mm_Horizontal";1;"D";;;
19;"J1";"IDC_Header_Straight_34pins";1;"Conn_02x17_Odd_Even";;;
20;"J3";"Molex_KK-41791-11_10x3.96mm_Straight";1;"GI_WPC_J120";;;
21;"J4";"Molex_KK-41791-11_10x3.96mm_Straight";1;"GI_WPC_J121";;;
22;"J5";"Molex_KK-41791-03_03x3.96mm_Straight";1;"GI_CONN_J119";;;
23;"R1,R3,R5,R6,R8,R9,R11,R12,R14,R15,R17";"R_0805_HandSoldering";11;"10k";;;
24;"R2";"R_0805_HandSoldering";1;"1.5k";;;
25;"R4,R7,R10,R13,R16,R21,R22";"R_0805_HandSoldering";7;"220";;;
26;"R18,R19,R20";"R_0805_HandSoldering";3;"180";;;
27;"R23";"R_0805_HandSoldering";1;"1M";;;
28;"R24";"R_0805_HandSoldering";1;"300k";;;
29;"U2";"TO-220_Vertical";1;"L7805";;;
30;"FLAKIE";"FLAKIE_inv";1;"";;;
31;"afterglow";"afterglow";1;"";;;
